Name,Price,Stock,URL,Description
Fixit Nylon Sash Cord 10mm x 10m FXH049,USD 7.08,Unknown,https://halsteds.co.zw/msasa_store/fixit-nylon-sash-cord-10mm-x-10m-fxh049.html,Fixit Nylon Sash Cord 10mm x 10m FXH049
Fixit Nylon Sash Cord 12mm x 10m FXH050,USD 8.22,Unknown,https://halsteds.co.zw/msasa_store/fixit-nylon-sash-cord-12mm-x-10m-fxh050.html,Fixit Nylon Sash Cord 12mm x 10m FXH050
Fixit Nylon Sash Cord 4mm x 10m FXH039,USD 2.12,Unknown,https://halsteds.co.zw/msasa_store/fixit-nylon-sash-cord-4mm-x-10m-fxh039.html,Fixit Nylon Sash Cord 4mm x 10m FXH039
Fixit Nylon Sash Cord 5mm x 10m FXH041,USD 3.04,Unknown,https://halsteds.co.zw/msasa_store/fixit-nylon-sash-cord-5mm-x-10m-fxh041.html,Fixit Nylon Sash Cord 5mm x 10m FXH041
Fixit Nylon Sash Cord 6mm x 10m FXH043,USD 3.14,Unknown,https://halsteds.co.zw/msasa_store/fixit-nylon-sash-cord-6mm-x-10m-fxh043.html,Fixit Nylon Sash Cord 6mm x 10m FXH043
Fixit Nylon Sash Cord 8mm x 10m FXH048,USD 5.14,Unknown,https://halsteds.co.zw/msasa_store/fixit-nylon-sash-cord-8mm-x-10m-fxh048.html,Fixit Nylon Sash Cord 8mm x 10m FXH048
Horti Twine 1kg,USD 25.04,Unknown,https://halsteds.co.zw/msasa_store/horti-twine-1kg.html,Horti Twine 1kg
Mamba Bakkie Cord 6mm x 5m,USD 4.06,Unknown,https://halsteds.co.zw/msasa_store/mamba-bakkie-cord-6mm-x-5m.html,Mamba Bakkie Cord 6mm x 5m
Mamba Lacing Cord Hank BLACK 2mm x 20m,USD 0.61,Unknown,https://halsteds.co.zw/msasa_store/mamba-lacing-cord-hank-black-2mm-x-20m.html,Mamba Lacing Cord Hank BLACK 2mm x 20m
Mamba Lacing Cord Hank GREEN 2mm x 20m,USD 0.76,Unknown,https://halsteds.co.zw/msasa_store/mamba-lacing-cord-hank-green-2mm-x-20m.html,Mamba Lacing Cord Hank GREEN 2mm x 20m
Mamba Lacing Cord Hank WHITE 2mm x 20m,USD 0.77,Unknown,https://halsteds.co.zw/msasa_store/mamba-lacing-cord-hank-white-2mm-x-20m.html,Mamba Lacing Cord Hank WHITE 2mm x 20m
Mamba Outdoor Braid Hank 8mm x 10m,USD 2.77,Unknown,https://halsteds.co.zw/msasa_store/mamba-outdoor-braid-hank-8mm-x-10m.html,Mamba Outdoor Braid Hank 8mm x 10m
Mamba Outdoor Braid Hank 8mm x 30m,USD 7.79,Unknown,https://halsteds.co.zw/msasa_store/mamba-outdoor-braid-hank-8mm-x-30m.html,Mamba Outdoor Braid Hank 8mm x 30m
Mamba Washline Hank White Twisted 4mm x15m,USD 1.99,Unknown,https://halsteds.co.zw/msasa_store/mamba-washline-hank-white-twisted-4mm-x15m.html,Mamba Washline Hank White Twisted 4mm x15m
Marine Rope 10mm x 1M,USD 0.79,Unknown,https://halsteds.co.zw/msasa_store/marine-rope-10mm-x-1m.html,Marine Rope 10mm x 10m
Marine Rope 12mm x 1M,USD 1.30,Unknown,https://halsteds.co.zw/msasa_store/marine-rope-12mm-x-1m.html,Marine Rope 12mm x 10m
Marine Rope 14mm x 1M,USD 3.75,Unknown,https://halsteds.co.zw/msasa_store/marine-rope-14mm-x-1m.html,Marine Rope 14mm x 1M
Marine Rope 16mm x 1M,USD 1.68,Unknown,https://halsteds.co.zw/msasa_store/marine-rope-16mm-x-1m.html,Marine Rope 16mm x 1M
Marine Rope 18mm x 1M,USD 2.17,Unknown,https://halsteds.co.zw/msasa_store/marine-rope-18mm-x-1m.html,Marine Rope 18mm x 1M
Tanzi Polyester Braided Rope 10mm x 10m,USD 13.63,Unknown,https://halsteds.co.zw/msasa_store/tanzi-polyester-braided-rope-10mm-x-10m.html,Tanzi Polyester Braided Rope 10mm x 10m
Tanzi Polyester Braided Rope 12mm x 10m,USD 18.34,Unknown,https://halsteds.co.zw/msasa_store/tanzi-polyester-braided-rope-12mm-x-10m.html,Tanzi Polyester Braided Rope 12mm x 10m
Tanzi Polyester Braided Rope 6mm x 10m,USD 3.53,Unknown,https://halsteds.co.zw/msasa_store/tanzi-polyester-braided-rope-6mm-x-10m.html,Tanzi Polyester Braided Rope 6mm x 10m
Tanzi Polyester Braided Rope 7mm x 10m,USD 6.46,Unknown,https://halsteds.co.zw/msasa_store/tanzi-polyester-braided-rope-7mm-x-10m.html,Tanzi Polyester Braided Rope 7mm x 10m
